Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
54,AGRIPOWER FERTILISERS INDIA PVT LTD,Australia,AGRIPOWER AUSTRALIA LTD,NEW DELHI,Wholesale of fertilizers and agrochemical products,0.10,0.00,
55,AUSTRALIAN ENERGY STORAGE SOLUTIONS PVT,Australia,MIMBLES PTY LTD,AHMEDABAD,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese",4.80,0.07,
56,URBAN BAY RETAIL INDIA PVT LTD,Australia,URBAN BAY RETAIL PTY LTD,NEW DELHI,Retail sale via mail order houses,0.10,0.00,
57,LEARNING INFORMATION SYSTEMS(INDIA) PVT,Australia,NAVITAS LTD,NEW DELHI,Educational support services,7.07,0.10,
58,BWX BRANDS INDIA PVT LTD,Australia,BWX BRANDS PTY LTD,NEW DELHI,"Wholesale of toiletry, perfumery and cosmetics",0.50,0.01,
59,HEAT SOFTWARE INDIA PRIVATE LIMITED,Australia,HEAT SOFTWARE ASIA PACIFIC PTY LTD,BANGALORE,Providing software support and maintenance to the clients,0.00,0.00,
60,WESTSEA OFFSHORE INDIA PVT LTD,Australia,GEORGINA LEE,MUMBAI,"Building of commercial vessels: passenger vessels, ferry-boats, cargo ships, tankers, tugs, hovercraft",0.40,0.01,
61,MAXION WHEELS ALUMINIUM INDIA PVT LTD,Austria,IOCHPE-MAXION AUSTRIA GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes,
axles, road",362.00,5.27,
62,ILF CONSULTING ENGINEERS,Austria,ILF HOLDING GMBH,MUMBAI,Architectural and,0.10,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,INDIA PVT LTD,,,,engineering activities and related technical consultancy,,,
63,ILF CONSULTING ENGINEERS INDIA PVT LTD,Austria,ILF MANAGEMENT GMBH,MUMBAI,"Architectural and engineering activities and related technical
consultancy",0.00,0.00,
64,BRUECKNER MACHINERY & SERVICE INDIA P LT,Austria,BRUECKNER HOLDING GMBH,MUMBAI,Courier activities,2.97,0.04,
65,ILF CONSULTING ENGINEERS INDIA PVT LTD,Austria,ILF MANAGEMENT GMBH,MUMBAI,"Architectural and engineering activities and related technical
consultancy",29.26,0.41,
66,ILF CONSULTING ENGINEERS INDIA PVT LTD,Austria,ILF GROUP HOLDING GMBH,MUMBAI,"Architectural and engineering activities and related technical
consultancy",13.81,0.19,
