Table No.19 (b),Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18
430,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,MAHARASHTRA,Thane,Other amusement and recreation activities n.e.c.,M League Pte Ltd,Singapore,"9,92,666.3800",12372.5113,Received in the company
431,HIZEN INTELLIGENCE SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Hizen Pte Limited,Singapore,"9,72,980.5400",12230.2877,Received in the company
432,BPE BIOTREE INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Manufacture of other special- purpose machinery n.e.c.,ZETA GMBH,Austria,"9,28,846.8000",11577.0694,Received in the company
433,RECURSION INTERNATIONAL PRIVATE LIMITED,HARYANA,Panipat,Other information technology and computer service activities n.e.c,"PUSTACK TECHNOLOGIES INC, USA",U.S.A,"9,10,000.0000",11431.931,Received in the company
434,CONTEMPORARY LEATHER PRIVATE LIMITED,TAMIL NADU,Tiruvallur,Manufacture of saddlery and harness,THE PROMOTIONAL MIX LIMITED,United Kingdom,"8,66,900.0000",10890.4846,Received in the company
435,Sunshine Teahouse Private Limited,DELHI,South West Delhi,"Cafeterias, fast-food restaurants and other food preparation in
market stalls","Alpha Wave Ventures II, LP",Cayman Islands,"8,49,605.8800",10673.2262,"Received in the
company"
436,"TRANSPIPE INTEGRITY SOLUTIONS PRIVATE
LIMITED",GUJARAT,Vadodara,Other non-specialised wholesale trade n.e.c.,Trans-Asia Pipeline Services Pte.Ltd,Singapore,"7,50,000.0000",9421.9212,"Received in the
company"
437,CAPTRONIC SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Technical testing and analysis,Safran Data Systems Investment SAS,France,"7,38,962.0000",9210.361,"Received in the
company"
438,CAPTRONIC SYSTEMS PRIVATE LIMITED,KERALA,Thrissur,Technical testing and analysis,Safran Data Systems Investment SAS,France,"7,38,962.0000",9210.361,"Received in the
company"
439,CAPTRONIC SYSTEMS PRIVATE LIMITED,TAMIL NADU,Chennai,Technical testing and analysis,Safran Data Systems Investment SAS,France,"7,38,962.0000",9210.361,Received in the company
440,NEXDIGM PRIVATE LIMITED,MAHARASHTRA,Mumbai,Management consultancy activities,Mark A. Shircel,U.S.A,"7,30,080.0000",9171.6749,"Received in the
company"
441,FICUS PAX PRIVATE LIMITED,TELANGANA,Medak,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc.",UFP Global Holdings Limited,United Kingdom,"7,30,665.0000",9106.9479,Received in the company
442,AOSYS PRIVATE LIMITED,GUJARAT,Ahmedabad,"Wholesale of scientific, medical and surgical machinery and equipment",PRASHANTHA WANIGASURIYA,Malaysia,"7,20,003.6000",9050.3878,Received in the company
443,MARKET PULSE TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.",JOHAN DE BIE,Belgium,"7,03,800.0000",8841.5308,Received in the company
444,AQULENS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Management consultancy activities,Aqulens INC,U.S.A,"7,01,542.1300",8818.3286,Received in the company
445,Mothersense Technologies Private Limited,KARNATAKA,Bengaluru,Medical practice activities,"SAMA LIFESCIENCES, INC.",U.S.A,"6,88,316.0500",8652.0778,Received in the company
446,DATAFACTZ SOLUTIONS PRIVATE LIMITED,TELANGANA,Hyderabad,Computer consultancy and computer facilities management activities,Datafactz LLC,U.S.A,"6,72,300.0000",8379.4914,Received in the company
