Table No.19 (b),Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18
752,ICAD AIRPORTS PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Construction of buildings carried out on own-account basis or on a fee or contract basis,ICAD Holding Ltd,United Kingdom,10,0.1257,Received in the company
753,KHVATEC INDIA PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Manufacture of other electronic components n.e.c,KHVATEC CO. LTD,South Korea,10,0.1257,Received in the company
754,MERIDIANLINK INDIA SUB PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Enhancor Holdings LLC,U.S.A,10,0.1257,Received in the company
755,Milos Automation (India) Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Milos Automation Inc,U.S.A,10,0.1257,Received in the company
756,PEOPLE MESH PRIVATE LIMITED,HARYANA,Gurgaon,"Computer consultancy and computer facilities management
activities",PEOPLE MESH INC,U.S.A,10,0.1257,"Received in the
company"
757,Wanbang Starcharge India Pvt Ltd,DELHI,West Delhi,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",Ng Chiew Eng,Singapore,10,0.1257,"Received in the
company"
758,Adept Renewable,MAHARASHTRA,Mumbai,Electric power generation using,BGTF Holdings (DIFC) Limited,UAE,10,0.1256,Received in
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"*Total  FDI  inflow  includes  equity  inflow,  equity  capital  of  unincorporated  bodies,  re-invested  earnings,  and  other  capital.  Sector/State/Country-wise  details  are maintained only for equity component of FDI inflow.",,,,,,,,,
