Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
51,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,50.19,0.67,Received in the Company,
52,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,50.19,0.67,Received in the Company,
53,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,100.08,1.33,Received in the Company,
54,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,100.08,1.33,Received in the Company,
55,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,100.08,1.33,Received in the Company,
56,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,44.14,0.59,Received in the Company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
57,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,222.22,2.96,Received in the Company,
58,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,43.24,0.58,Received in the Company,
59,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,178.99,2.39,Received in the Company,
60,ASHIRVAD PIPES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of semi- finished of plastic products (plastic plates, sheets, blocks,
film, foil, strip etc.)",Glynwed Holding B.V.,Netherland,243.99,3.25,Received in the Company,
61,"AVENTURE SYSTEMS
PRIVATE LIMITED",KARNATAKA,Bengaluru,"Other information
service activities n.e.c.",LATHA SREE POLAVARAM,U.S.A,0.10,0.00,"Received in
the Company",
62,"AXCEND AUTOMATION AND SOFTWARE SOLUTIONS PRIVATE
LIMITED",KARNATAKA,Bengaluru,Publishing of operating systems and system software,Axcend Global Partners Inc,Canada,0.50,0.01,Received in the company,
63,"AXILLY LABS PRIVATE
LIMITED",KARNATAKA,Bengaluru,Web hosting activities,"Singapore Angel Network
Pte Ltd",Singapore,0.00,0.00,"Received in
the Company",
64,B2X Service Solutions India Private Limited,MAHARASHTRA,Mumbai,"Repair and maintenance of computer and
peripheral equipment",B2X Care Solutions GmbH,Germany,13.23,0.18,Received in the Company,
65,"BAGPAT GREEN ENERGY
PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Distribution and sale of
gaseous fuels through","THINK GAS INVESTMENTS
PTE. LTD.",Singapore,26.94,0.36,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,,,,mains,,,,,,
66,"BIGPITCHER GURUGRAM
PRIVATE LIMITED",HARYANA,Gurgaon,"Bars and Restaurants
with bars",Lyra (Singapore) Pte. Ltd.,Singapore,0.05,0.00,"Received in
the Company",
67,BINNACLE MARINE GLOBAL PRIVATE LIMITED,GUJARAT,Ahmedabad,"Activities of other commission agents
n.e.c. (including commission agents working in emerging areas for wholesale
trade",BINNACLE MARINE FZE,UAE,0.13,0.00,Received in the Company,
68,BIOTAXY INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Research and experimental development on natural sciences and engineering,CURTIS R. ASHBECK,U.S.A,0.29,0.00,Received in the Company,
69,"BIPP INCP CONSULTANCY PRIVATE
LIMITED",WEST BENGAL,Kolkata,"Computer consultancy and computer facilities
management activities",BIPP INC,U.S.A,0.04,0.00,Received in the Company,
70,BIPP INCP CONSULTANCY PRIVATE LIMITED,WEST BENGAL,Kolkata,Computer consultancy and computer facilities management activities,BIPP INC,U.S.A,0.04,0.00,Received in the Company,
71,BITONIC TECHNOLOGY LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Bitonic Technology Labs INC,U.S.A,0.09,0.00,Received in the Company,
72,Bizrise Technologies Private Limited,DELHI,South Delhi,"Activities of collection agencies and credit
bureaus","NEARPE PAYMENTS, INC.",U.S.A,0.05,0.00,Received in the Company,
73,BLUE JEANS NETWORK INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-
page designing",Verizon European Holding Limited,U.S.A,0.04,0.00,Received in the company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
