Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING OCTOBER 2016 TO DECEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
88,VODAFONE INDIA LTD,Mauritius,EURO PACIFIC SECURITIES LTD,MUMBAI,Activities of other wireless telecommunications activities,"6,814.60",100.77,
89,VODAFONE INDIA LTD,Mauritius,VODAFONE TELECOMMUNICATIONS (INDIA) LTD,MUMBAI,Activities of other wireless telecommunications activities,"2,775.86",41.05,
90,VODAFONE INDIA LTD,Mauritius,MOBILVEST,MUMBAI,Activities of other wireless telecommunications activities,"2,863.00",42.34,
91,VODAFONE INDIA LTD,Mauritius,PRIME METALS LTD,MUMBAI,Activities of other wireless telecommunications activities,"3,734.96",55.23,
92,VODAFONE INDIA LTD,Mauritius,TRANS CRYSTAL LTD,MUMBAI,Activities of other wireless telecommunications activities,"2,496.23",36.91,
93,VODAFONE INDIA LTD,Mauritius,AL-AMIN INVESTMENTS LTD,MUMBAI,Activities of other wireless telecommunications activities,563.78,8.34,
94,VODAFONE INDIA LTD,Mauritius,ASIAN TELECOMMUNICATION INVESTMENTS (MAU,MUMBAI,Activities of other wireless telecommunications activities,680.42,10.06,
95,VODAFONE INDIA LTD,Mauritius,CCII (MAURITIUS) INC,MUMBAI,Activities of other wireless telecommunications activities,309.70,4.58,
96,VODAFONE INDIA LTD,Mauritius,VODAFONE TELECOMMUNICATIONS (INDIA) LTD,MUMBAI,Activities of other wireless telecommunications activities,"1,127.56",16.67,
97,VODAFONE INDIA LTD,Mauritius,MOBILVEST,MUMBAI,Activities of other wireless telecommunications activities,"1,162.96",17.20,
98,VODAFONE INDIA LTD,Mauritius,PRIME METALS LTD,MUMBAI,Activities of other wireless telecommunications activities,"1,517.15",22.43,
99,VODAFONE INDIA LTD,Mauritius,TRANS CRYSTAL LTD,MUMBAI,Activities of other wireless telecommunications activities,"1,013.98",14.99,
100,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,135.56,2.00,
101,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,268.89,3.98,
102,RELIANCE VISION EXPRESS PVT LTD,Netherlands,GRANDVISION INDIA BV,MUMBAI,"Retail sale of photographic, optical and precision equipment",25.00,0.37,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
103,ALSTOM MANUFACTURING INDIA PVT LTD,Netherlands,Alstom Transport Holdings B.V,MUMBAI,"Manufacture of electric, diesel, steam and other rail locomotives",750.00,11.05,
104,TS INVESTMENTS LTD,Netherlands,STAR INDIA HOLDINGS BV,MUMBAI,Activities of holding companies,"3,245.91",48.63,
105,TS INVESTMENTS LTD,Netherlands,STAR INDIA HOLDINGS BV,MUMBAI,Activities of holding companies,166.60,2.50,
106,POLYPEPTIDE LABORATORIES PVT LTD,Netherlands,POLYPEPTIDE LABORATORIES BV,MUMBAI,Manufacture of allopathic pharmaceutical preparations,156.40,2.34,
107,ELANCO INDIA PRIVATE LIMITED,Netherlands,ELANCO NETHERLANDS HOLDING B.V.,NEW DELHI,Veterinary activities,919.02,13.77,
108,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Russia,As per list - 2 investors.,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.00,0.00,
109,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Russia,As per list - 11 investors.,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.00,0.00,
